Firm_ID,Year,NIC,GVA
ALLCARGO.NS,2026,42,2680000000.0
ALLCARGO.NS,2025,42,2700000000.0
ALLCARGO.NS,2024,42,6920100000.0
ALLCARGO.NS,2023,42,12481700000.0
ALLDIGI.NS,2026,42,1636700000.0
ALLDIGI.NS,2025,42,1572800000.0
ALLDIGI.NS,2024,42,1230900000.0
ALLDIGI.NS,2023,42,964600000.0
ALLTIME.NS,2026,10,923401000.0
ALLTIME.NS,2025,10,1024061000.0
ALLTIME.NS,2024,10,998220000.0
ALLTIME.NS,2023,10,731000000.0
ALKEM.NS,2026,21,34137300000.0
ALKEM.NS,2025,21,30058900000.0
ALKEM.NS,2024,21,24181400000.0
ALKEM.NS,2023,21,17089400000.0
ALMONDZ.NS,2026,64,431000000.0
ALMONDZ.NS,2025,64,276400000.0
ALMONDZ.NS,2024,64,419110000.0
ALMONDZ.NS,2023,64,219802000.0
ALPA.NS,2026,21,190470000.0
ALPA.NS,2025,21,281011000.0
ALPA.NS,2024,21,229595000.0
ALPA.NS,2023,21,173020000.0
ALOKINDS.NS,2026,29,1328800000.0
ALOKINDS.NS,2025,29,1148600000.0
ALPHAGEO.NS,2025,19,67769000.0
ALPHAGEO.NS,2024,19,183457000.0
ALPHAGEO.NS,2023,19,306492000.0
AMBALALSA.NS,2026,21,265362000.0
AMBALALSA.NS,2025,21,131050000.0
AMBALALSA.NS,2024,21,159188000.0
AMBALALSA.NS,2023,21,203145000.0
AMAGI.NS,2026,62,1148970000.0
AMANTA.NS,2026,21,606004000.0
AMANTA.NS,2025,21,610537000.0
AMANTA.NS,2024,21,575160000.0
AMANTA.NS,2023,21,554215000.0
AMBER.NS,2026,29,9433666000.0
AMBER.NS,2025,29,8069993000.0
AMBER.NS,2024,29,5306440000.0
AMBER.NS,2023,29,4554187000.0
AMBIKCO.NS,2026,29,1294300000.0
AMBIKCO.NS,2025,29,1298300000.0
AMBIKCO.NS,2024,29,1319903000.0
AMBIKCO.NS,2023,29,1886556000.0
AMBICAAGAR.NS,2026,10,186275000.0
AMBICAAGAR.NS,2025,10,155518000.0
AMBICAAGAR.NS,2024,10,102580000.0
AMBICAAGAR.NS,2023,10,135157000.0
AMDIND.NS,2026,29,182081000.0
AMDIND.NS,2025,29,268510000.0
AMDIND.NS,2024,29,222899000.0
AMDIND.NS,2023,29,480711000.0
AMJLAND.NS,2026,68,241473000.0
AMJLAND.NS,2025,68,350779000.0
AMJLAND.NS,2024,68,181164000.0
AMJLAND.NS,2023,68,129967000.0
AMIRCHAND.NS,2025,10,1563430000.0
AMIRCHAND.NS,2024,10,1043240000.0
AMIRCHAND.NS,2023,10,737280000.0
ANANTRAJ.NS,2026,68,7231500000.0
