Company name,Symbol,Sector
Singhe Hospitals,CSE: SINH.N0000,Health Services
SMB Finance,CSE: SEMB.N0000,Finance
Softlogic Capital,CSE: SCAP.N0000,Finance
Softlogic Finance,CSE: CRL.N0000,Finance
Softlogic Holdings,CSE: SHL.N0000,Retail Trade
Softlogic Life Insurance,CSE: AAIC.N0000,Finance
Sri Lanka Telecom,CSE: SLTL.N0000,Communications
Standard Capital,CSE: SING.N0000,Finance
Sunshine Holdings,CSE: SUN.N0000,Retail Trade
Swadeshi Industrial Works,CSE: SWAD.N0000,Consumer Non-Durables
Swisstek (Ceylon),CSE: PARQ.N0000,Non-Energy Minerals
TAL Lanka Hotels,CSE: TAJ.N0000,Consumer Services
Talawakelle Tea Estates,CSE: TPL.N0000,Consumer Non-Durables
Tangerine Beach Hotels,CSE: TANG.N0000,Consumer Services
Tea Smallholder Factories,CSE: TSML.N0000,Consumer Non-Durables
Teejay Lanka,CSE: TJL.N0000,Consumer Non-Durables
Tess Agro,CSE: TESS.N0000,Commercial Services
The Autodrome,CSE: AUTO.N0000,Distribution Services
The Colombo Fort Land & Building,CSE: CFLB.N0000,Finance
The Fortress Resorts,CSE: RHTL.N0000,Consumer Services
The Kandy Hotels Company (1938),CSE: KHC.N0000,Consumer Services
The Kingsbury,CSE: SERV.N0000,Consumer Services
The Lanka Hospitals Corporation,CSE: LHCL.N0000,Health Services
The Lighthouse Hotel,CSE: LHL.N0000,Consumer Services
The Nuwara Eliya Hotels Company,CSE: NEH.N0000,Consumer Services
Three Acre Farms,CSE: TAFL.N0000,Process Industries
Tokyo Cement Company (Lanka),CSE: TKYO.N0000,Non-Energy Minerals
Trans Asia Hotels,CSE: TRAN.N0000,Consumer Services
UB Finance,CSE: UBF.N0000,Finance
Udapussellawa Plantations,CSE: UDPL.N0000,Consumer Non-Durables
Union Assurance,CSE: UAL.N0000,Finance
Union Bank of Colombo,CSE: UBC.N0000,Finance
Union Chemicals Lanka,CSE: UCAR.N0000,Process Industries
Unisyst Engineering,CSE: ALUF.N0000,Industrial Services
United Motors Lanka,CSE: UML.N0000,Retail Trade
Vallibel Finance,CSE: VFIN.N0000,Finance
Vallibel One,CSE: VONE.N0000,Distribution Services
Vallibel Power Erathna,CSE: VPEL.N0000,Utilities
Vidullanka,CSE: VLL.N0000,Utilities
Waskaduwa Beach Resort,CSE: CITW.N0000,Consumer Services
Watawala Plantations,CSE: WATA.N0000,Consumer Non-Durables
WindForce,CSE: WIND.N0000,Utilities
York Arcade Holdings,CSE: YORK.N0000,Finance
